Scene,Position,File,True Positives,False Positives
2025-03-13_01-00-07,75.00_55.00,python/scans/2025-03-13_01-00-07/75.00_55.00/img_0.jpg,0,0
2025-03-13_01-00-07,75.00_55.00,python/scans/2025-03-13_01-00-07/75.00_55.00/img_1.jpg,1,0
2025-03-13_01-00-07,75.00_55.00,python/scans/2025-03-13_01-00-07/75.00_55.00/img_2.jpg,0,2
2025-03-13_01-00-07,75.00_55.00,python/scans/2025-03-13_01-00-07/75.00_55.00/img_3.jpg,0,1
2025-03-13_01-00-07,75.00_55.00,python/scans/2025-03-13_01-00-07/75.00_55.00/img_4.jpg,0,2
2025-03-13_01-00-07,75.00_55.00,python/scans/2025-03-13_01-00-07/75.00_55.00/img_5.jpg,0,3
2025-03-13_01-00-07,75.00_55.00,python/scans/2025-03-13_01-00-07/75.00_55.00/img_6.jpg,0,6
2025-03-13_01-00-07,75.00_55.00,python/scans/2025-03-13_01-00-07/75.00_55.00/img_7.jpg,0,1
2025-03-13_01-00-07,75.00_55.00,python/scans/2025-03-13_01-00-07/75.00_55.00/img_8.jpg,0,4
2025-03-13_01-00-07,25.00_50.00,python/scans/2025-03-13_01-00-07/25.00_50.00/img_0.jpg,0,0
2025-03-13_01-00-07,25.00_50.00,python/scans/2025-03-13_01-00-07/25.00_50.00/img_1.jpg,1,3
2025-03-13_01-00-07,25.00_50.00,python/scans/2025-03-13_01-00-07/25.00_50.00/img_2.jpg,0,2
2025-03-13_01-00-07,25.00_50.00,python/scans/2025-03-13_01-00-07/25.00_50.00/img_3.jpg,0,1
2025-03-13_01-00-07,25.00_50.00,python/scans/2025-03-13_01-00-07/25.00_50.00/img_4.jpg,0,0
2025-03-13_01-00-07,25.00_50.00,python/scans/2025-03-13_01-00-07/25.00_50.00/img_5.jpg,0,2
2025-03-13_01-00-07,25.00_50.00,python/scans/2025-03-13_01-00-07/25.00_50.00/img_6.jpg,0,5
2025-03-13_01-00-07,25.00_50.00,python/scans/2025-03-13_01-00-07/25.00_50.00/img_7.jpg,0,4
2025-03-13_01-00-07,25.00_50.00,python/scans/2025-03-13_01-00-07/25.00_50.00/img_8.jpg,0,9
2025-03-13_01-00-07,45.00_60.00,python/scans/2025-03-13_01-00-07/45.00_60.00/img_0.jpg,0,0
2025-03-13_01-00-07,45.00_60.00,python/scans/2025-03-13_01-00-07/45.00_60.00/img_1.jpg,1,2
2025-03-13_01-00-07,45.00_60.00,python/scans/2025-03-13_01-00-07/45.00_60.00/img_2.jpg,1,2
2025-03-13_01-00-07,45.00_60.00,python/scans/2025-03-13_01-00-07/45.00_60.00/img_3.jpg,0,1
2025-03-13_01-00-07,45.00_60.00,python/scans/2025-03-13_01-00-07/45.00_60.00/img_4.jpg,0,1
2025-03-13_01-00-07,45.00_60.00,python/scans/2025-03-13_01-00-07/45.00_60.00/img_5.jpg,0,2
2025-03-13_01-00-07,45.00_60.00,python/scans/2025-03-13_01-00-07/45.00_60.00/img_6.jpg,0,1
2025-03-13_01-00-07,45.00_60.00,python/scans/2025-03-13_01-00-07/45.00_60.00/img_7.jpg,0,2
2025-03-13_01-00-07,45.00_60.00,python/scans/2025-03-13_01-00-07/45.00_60.00/img_8.jpg,0,6
2025-03-13_01-00-07,45.00_45.00,python/scans/2025-03-13_01-00-07/45.00_45.00/img_0.jpg,0,0
2025-03-13_01-00-07,45.00_45.00,python/scans/2025-03-13_01-00-07/45.00_45.00/img_1.jpg,1,0
2025-03-13_01-00-07,45.00_45.00,python/scans/2025-03-13_01-00-07/45.00_45.00/img_2.jpg,2,0
2025-03-13_01-00-07,45.00_45.00,python/scans/2025-03-13_01-00-07/45.00_45.00/img_3.jpg,0,3
2025-03-13_01-00-07,45.00_45.00,python/scans/2025-03-13_01-00-07/45.00_45.00/img_4.jpg,0,3
2025-03-13_01-00-07,45.00_45.00,python/scans/2025-03-13_01-00-07/45.00_45.00/img_5.jpg,1,3
2025-03-13_01-00-07,45.00_45.00,python/scans/2025-03-13_01-00-07/45.00_45.00/img_6.jpg,0,4
2025-03-13_01-00-07,45.00_45.00,python/scans/2025-03-13_01-00-07/45.00_45.00/img_7.jpg,0,4
2025-03-13_01-00-07,45.00_45.00,python/scans/2025-03-13_01-00-07/45.00_45.00/img_8.jpg,0,3
2025-03-13_00-38-51,75.00_55.00,python/scans/2025-03-13_00-38-51/75.00_55.00/img_0.jpg,0,0
2025-03-13_00-38-51,75.00_55.00,python/scans/2025-03-13_00-38-51/75.00_55.00/img_1.jpg,0,0
2025-03-13_00-38-51,75.00_55.00,python/scans/2025-03-13_00-38-51/75.00_55.00/img_10.jpg,0,5
2025-03-13_00-38-51,75.00_55.00,python/scans/2025-03-13_00-38-51/75.00_55.00/img_2.jpg,0,1
2025-03-13_00-38-51,75.00_55.00,python/scans/2025-03-13_00-38-51/75.00_55.00/img_3.jpg,0,4
2025-03-13_00-38-51,75.00_55.00,python/scans/2025-03-13_00-38-51/75.00_55.00/img_4.jpg,0,2
2025-03-13_00-38-51,75.00_55.00,python/scans/2025-03-13_00-38-51/75.00_55.00/img_5.jpg,0,2
2025-03-13_00-38-51,75.00_55.00,python/scans/2025-03-13_00-38-51/75.00_55.00/img_6.jpg,0,3
2025-03-13_00-38-51,75.00_55.00,python/scans/2025-03-13_00-38-51/75.00_55.00/img_7.jpg,0,2
2025-03-13_00-38-51,75.00_55.00,python/scans/2025-03-13_00-38-51/75.00_55.00/img_8.jpg,0,4
2025-03-13_00-38-51,75.00_55.00,python/scans/2025-03-13_00-38-51/75.00_55.00/img_9.jpg,0,6
2025-03-13_00-38-51,25.00_50.00,python/scans/2025-03-13_00-38-51/25.00_50.00/img_0.jpg,0,0
2025-03-13_00-38-51,25.00_50.00,python/scans/2025-03-13_00-38-51/25.00_50.00/img_1.jpg,0,0
2025-03-13_00-38-51,25.00_50.00,python/scans/2025-03-13_00-38-51/25.00_50.00/img_10.jpg,0,4
2025-03-13_00-38-51,25.00_50.00,python/scans/2025-03-13_00-38-51/25.00_50.00/img_2.jpg,0,1
2025-03-13_00-38-51,25.00_50.00,python/scans/2025-03-13_00-38-51/25.00_50.00/img_3.jpg,0,1
2025-03-13_00-38-51,25.00_50.00,python/scans/2025-03-13_00-38-51/25.00_50.00/img_4.jpg,0,3
2025-03-13_00-38-51,25.00_50.00,python/scans/2025-03-13_00-38-51/25.00_50.00/img_5.jpg,0,1
2025-03-13_00-38-51,25.00_50.00,python/scans/2025-03-13_00-38-51/25.00_50.00/img_6.jpg,0,4
2025-03-13_00-38-51,25.00_50.00,python/scans/2025-03-13_00-38-51/25.00_50.00/img_7.jpg,0,4
2025-03-13_00-38-51,25.00_50.00,python/scans/2025-03-13_00-38-51/25.00_50.00/img_8.jpg,0,6
2025-03-13_00-38-51,25.00_50.00,python/scans/2025-03-13_00-38-51/25.00_50.00/img_9.jpg,0,2
2025-03-13_00-38-51,45.00_60.00,python/scans/2025-03-13_00-38-51/45.00_60.00/img_0.jpg,0,0
2025-03-13_00-38-51,45.00_60.00,python/scans/2025-03-13_00-38-51/45.00_60.00/img_1.jpg,0,2
2025-03-13_00-38-51,45.00_60.00,python/scans/2025-03-13_00-38-51/45.00_60.00/img_10.jpg,0,6
2025-03-13_00-38-51,45.00_60.00,python/scans/2025-03-13_00-38-51/45.00_60.00/img_2.jpg,0,3
2025-03-13_00-38-51,45.00_60.00,python/scans/2025-03-13_00-38-51/45.00_60.00/img_3.jpg,0,3
2025-03-13_00-38-51,45.00_60.00,python/scans/2025-03-13_00-38-51/45.00_60.00/img_4.jpg,0,2
2025-03-13_00-38-51,45.00_60.00,python/scans/2025-03-13_00-38-51/45.00_60.00/img_5.jpg,0,3
2025-03-13_00-38-51,45.00_60.00,python/scans/2025-03-13_00-38-51/45.00_60.00/img_6.jpg,0,2
2025-03-13_00-38-51,45.00_60.00,python/scans/2025-03-13_00-38-51/45.00_60.00/img_7.jpg,0,2
2025-03-13_00-38-51,45.00_60.00,python/scans/2025-03-13_00-38-51/45.00_60.00/img_8.jpg,0,5
2025-03-13_00-38-51,45.00_60.00,python/scans/2025-03-13_00-38-51/45.00_60.00/img_9.jpg,0,4
2025-03-13_00-38-51,45.00_45.00,python/scans/2025-03-13_00-38-51/45.00_45.00/img_0.jpg,0,0
2025-03-13_00-38-51,45.00_45.00,python/scans/2025-03-13_00-38-51/45.00_45.00/img_1.jpg,0,2
2025-03-13_00-38-51,45.00_45.00,python/scans/2025-03-13_00-38-51/45.00_45.00/img_10.jpg,0,8
2025-03-13_00-38-51,45.00_45.00,python/scans/2025-03-13_00-38-51/45.00_45.00/img_2.jpg,0,2
2025-03-13_00-38-51,45.00_45.00,python/scans/2025-03-13_00-38-51/45.00_45.00/img_3.jpg,0,4
2025-03-13_00-38-51,45.00_45.00,python/scans/2025-03-13_00-38-51/45.00_45.00/img_4.jpg,0,5
2025-03-13_00-38-51,45.00_45.00,python/scans/2025-03-13_00-38-51/45.00_45.00/img_5.jpg,0,5
2025-03-13_00-38-51,45.00_45.00,python/scans/2025-03-13_00-38-51/45.00_45.00/img_6.jpg,0,4
2025-03-13_00-38-51,45.00_45.00,python/scans/2025-03-13_00-38-51/45.00_45.00/img_7.jpg,0,5
2025-03-13_00-38-51,45.00_45.00,python/scans/2025-03-13_00-38-51/45.00_45.00/img_8.jpg,0,6
2025-03-13_00-38-51,45.00_45.00,python/scans/2025-03-13_00-38-51/45.00_45.00/img_9.jpg,0,9
